prompt,1.0,partially_correct_incomplete,contradictory,non_domain,irrelevant,num_answers,avg_answer_len_in_chars,avg_token_len_in_chars,MATTR,MTLD,TTR
MS_50a,100.0,100.0,100.0,100.0,100.0,500.0,79.206,5.560934154771336,0.8639431558314277,120.98885294117646,0.15783503484038244
MS_50b,100.0,100.0,100.0,100.0,100.0,500.0,133.822,5.896430015788995,0.8928237880850173,165.61292661361625,0.15010416666666668
MS_64a,100.0,100.0,100.0,100.0,100.0,500.0,121.406,5.327168576994287,0.8243750661445656,87.15506849315068,0.10423246999368288
MX_1,100.0,100.0,100.0,100.0,100.0,500.0,132.27,4.779066503414967,0.8393389023623462,103.65903703703705,0.11232337685566088
MX_10,100.0,100.0,100.0,100.0,100.0,500.0,141.06,5.2431583861914275,0.8725332846981579,133.07137483266396,0.11556967771221062
MX_16a,100.0,100.0,100.0,100.0,100.0,500.0,154.594,5.253200267431582,0.8478234069137859,102.35301265822784,0.078397212543554
MX_18,100.0,100.0,100.0,100.0,100.0,500.0,125.344,5.382498457427293,0.8817620306716023,139.43357664233577,0.1379419191919192
MX_19,100.0,100.0,100.0,100.0,100.0,500.0,146.26,5.0781052756651555,0.8627810803825278,116.84065384615386,0.09763212079615649
MX_22a,100.0,100.0,100.0,100.0,100.0,500.0,137.654,5.468699721211318,0.8496984111882789,114.93619565217392,0.12670454545454546
MX_24,100.0,100.0,100.0,100.0,100.0,500.0,112.3,4.940694841335551,0.8577549475505569,123.80397350993375,0.13726333907056798
MX_36a,100.0,100.0,100.0,100.0,100.0,500.0,150.0,5.140873463723767,0.8791278527190973,136.87234285714285,0.11608651571476851
MX_36b,100.0,100.0,100.0,100.0,100.0,500.0,129.344,5.228714656982284,0.865527172304961,122.97426067907995,0.12053396152336082
MX_41,100.0,100.0,100.0,100.0,100.0,500.0,139.5,5.476092940655327,0.8635597773939743,117.52855679702049,0.10438353547894184
MX_42a,100.0,100.0,100.0,100.0,100.0,500.0,131.354,4.778753939167604,0.8468022314198308,109.61377364981082,0.11018543402311207
MX_47b,100.0,100.0,100.0,100.0,100.0,500.0,124.51,4.824477665472177,0.836113545816733,95.65791924882629,0.10040638318961245
MX_53,100.0,100.0,100.0,100.0,100.0,500.0,142.452,5.2709066531063975,0.8720189302616305,138.809426513737,0.1320234708392603
PS_12,100.0,100.0,100.0,100.0,100.0,500.0,148.386,5.063315368248761,0.8413767869298843,101.34502127659573,0.1007541733751377
PS_24a,100.0,100.0,100.0,100.0,100.0,500.0,145.064,5.181426203831146,0.839958115183246,101.70659813999022,0.10400556086540969
PS_26p,100.0,100.0,100.0,100.0,100.0,500.0,138.418,5.080266469212193,0.8726086563657721,128.2460651340996,0.12405541561712846
PS_2a,100.0,100.0,100.0,100.0,100.0,500.0,123.972,4.94730012253439,0.8406923376118242,102.4689708970897,0.12310074518532856
PS_2b,100.0,100.0,100.0,100.0,100.0,500.0,125.51,5.072294676129783,0.8646780684104628,118.35123125910455,0.1337471218340174
PS_44,100.0,100.0,100.0,100.0,100.0,500.0,108.066,4.945755473360531,0.8000913140311804,78.54344935064935,0.11130800753128807
PS_45b,100.0,100.0,100.0,100.0,100.0,500.0,137.764,5.154426635521219,0.8752795815295815,123.071912568306,0.10990392385741223
PS_46b,100.0,100.0,100.0,100.0,100.0,500.0,129.764,4.9979761498176,0.8777832372673156,156.76591200189753,0.15763732129420616
PS_4ap,100.0,100.0,100.0,100.0,100.0,500.0,149.438,4.935379333399884,0.8262202743283824,93.73184450487922,0.09377526273241714
PS_4bp,100.0,100.0,100.0,100.0,100.0,500.0,135.698,4.875798216535382,0.8294146642020949,93.08850948509485,0.09114811568799298
PS_51a,100.0,100.0,100.0,100.0,100.0,500.0,101.434,4.965429664730931,0.828645456736563,94.64858757062146,0.1320234814903558
PS_51b,100.0,100.0,100.0,100.0,100.0,500.0,98.124,4.984482630661596,0.8507337630143778,109.83594594594595,0.1470986817789824
SE_10,100.0,100.0,100.0,100.0,100.0,500.0,121.432,5.076386790826105,0.8401225490196078,105.10391635377556,0.11614673305558378
SE_27b,100.0,100.0,100.0,100.0,100.0,500.0,186.086,5.1829748865144305,0.8506834483691974,109.65746617466175,0.09125244486409928
SE_44,100.0,100.0,100.0,100.0,100.0,500.0,129.754,5.3910599292843475,0.8876515748031496,158.52889484724125,0.14634146341463414
SE_45,100.0,100.0,100.0,100.0,100.0,500.0,109.798,4.736159047594583,0.8245147406929202,91.75405279034692,0.11313282671518785
SE_46,100.0,100.0,100.0,100.0,100.0,500.0,136.72,5.169856522999927,0.8705121543885693,126.56687994496042,0.09845755980419323
SE_47b,100.0,100.0,100.0,100.0,100.0,500.0,154.762,5.043048395894715,0.8842706502636204,145.00662868565715,0.11195989496299832
SE_48,100.0,100.0,100.0,100.0,100.0,500.0,145.754,4.875195667680411,0.863880173564753,118.72157874309599,0.08817418765062744
SE_4a,100.0,100.0,100.0,100.0,100.0,500.0,104.83,5.0447054230583195,0.8550133923372539,120.28416498316498,0.15921723019916628
ST_31b,100.0,100.0,100.0,100.0,100.0,500.0,107.844,5.5510156947607,0.8821996076508092,150.0059037433155,0.1867154174283973
ST_52a,100.0,100.0,100.0,100.0,100.0,500.0,125.052,5.053757115338782,0.8550777202072539,123.04336969696969,0.13257312840852753
ST_58,100.0,100.0,100.0,100.0,100.0,500.0,92.182,4.3368151623455855,0.7962963852527921,74.93060267857142,0.11616523400191021
ST_59,100.0,100.0,100.0,100.0,100.0,500.0,113.412,5.451542043977452,0.9010539726662034,178.2838888888889,0.14937233674997122
VB_1,100.0,100.0,100.0,100.0,100.0,500.0,143.908,5.331841064726535,0.8651129046884919,128.70757967269594,0.12414228963524739
VB_12d,100.0,100.0,100.0,100.0,100.0,500.0,135.216,5.011081087855655,0.8527573225599119,112.05301396348013,0.1053016453382084
VB_15a,100.0,100.0,100.0,100.0,100.0,500.0,88.126,4.981717544515402,0.8594296842398108,118.16394760614273,0.15045592705167174
VB_15b,100.0,100.0,100.0,100.0,100.0,500.0,89.402,5.371642854955904,0.8684448231785258,128.97864864864863,0.15119887165021156
VB_15c,100.0,100.0,100.0,100.0,100.0,500.0,107.5,5.240286099666212,0.8707255890282499,123.52669064748201,0.12179487179487179
VB_29,100.0,100.0,100.0,100.0,100.0,500.0,114.688,5.510100316384063,0.8708296741391264,126.90798067632852,0.12765712972538204
mean,100.0,100.0,100.0,100.0,100.0,500.0,125.1683571428572,5.122088146831909,0.8596698830933531,122.03223742941297,0.12614704030419832
